총 479개 추출 (2018년 이후, 사회·문화·생활 관련)

[2018] 锦鲤 | 中性 | 社会、心理/社会生活
[2022] XX刺客 | 负向 | 社会、心理/社会生活

[2022] 冰墩墩（冬奥会） | 中性 | 社会/社会生活

[2022] 二十大 | 正向 | 社会/社会生活

[2022] 中国式现代化 | 正向 | 社会/社会生活

[2022] 人民至上，生命至上 | 正向 | 社会、文化/社会生活、精神文化

[2022] 做核酸 | 中性 | 社会/社会现象

[2022] 俄乌冲突 | 正向 | 社会/社会生活

[2022] 刘畊宏女孩/王心凌男孩 | 中性 | 社会/社会生活

[2022] 数字经济 | 正向 | 社会/社会生活

[2022] 网课 | 中性 | 社会/社会生活

[2022] 卡塔尔世界杯 | 中性 | 社会/社会生活

[2022] 优雅 | 中性 | 社会、文化、心理/社会生活、亚文化

[2022] 正片开始 | 中性 | 社会/社会生活

[2022] 火钳刘明 | 中性 | 社会/社会生活

[2022] 恭喜你发现宝藏 | 中性 | 社会/社会生活

[2022] 笑死我了/xswl | 中性 | 社会/社会生活

[2022] DNA动了 | 中性 | 社会/社会生活

[2022] 哈哈哈哈哈哈/hhhhhh/红红火火恍恍惚惚 | 中性 | 社会/社会生活

[2022] 助力每一个梦想 | 中性 | 社会/社会生活

[2022] 前方高能 | 中性 | 社会、文化/社会生活、亚文化

[2022] 毫无违和感 | 中性 | 社会/社会生活

[2022] 打断施法 | 中性 | 社会、文化/社会生活、亚文化

[2022] 太真实了/太real了/被真实了 | 中性 | 社会、心理/社会生活

